"hour","AtmPressure_cmH2O"
"2022-03-01 00:00:00",1047.8432045848
"2022-03-01 01:00:00",1047.6663749396
"2022-03-01 02:00:00",1047.78408801733
"2022-03-01 03:00:00",1047.9574591122
"2022-03-01 04:00:00",1048.3075646784
"2022-03-01 05:00:00",1048.17804834167
"2022-03-01 06:00:00",1047.94047227653
"2022-03-01 07:00:00",1047.6090513798
"2022-03-01 08:00:00",1047.2017140286
"2022-03-01 09:00:00",1046.7835319552
"2022-03-01 10:00:00",1046.72262068053
"2022-03-01 11:00:00",1046.55953856047
"2022-03-01 12:00:00",1046.84225423093
"2022-03-01 13:00:00",1046.50000050873
"2022-03-01 14:00:00",1045.59979169273
"2022-03-01 15:00:00",1044.56766849847
"2022-03-01 16:00:00",1043.29914033893
"2022-03-01 17:00:00",1041.8951829234
"2022-03-01 18:00:00",1040.48336188853
"2022-03-01 19:00:00",1039.6459202376
"2022-03-01 20:00:00",1038.7853581352
"2022-03-01 21:00:00",1038.28342815773
"2022-03-01 22:00:00",1037.97692241967
"2022-03-01 23:00:00",1037.6785540472
"2022-03-02 00:00:00",1037.6044306004
"2022-03-02 01:00:00",1037.275525013
"2022-03-02 02:00:00",1037.11714040307
"2022-03-02 03:00:00",1036.9698537458
"2022-03-02 04:00:00",1036.83983604673
"2022-03-02 05:00:00",1037.16406621793
"2022-03-02 06:00:00",1038.156716051
"2022-03-02 07:00:00",1038.13381653887
"2022-03-02 08:00:00",1038.07459629987
"2022-03-02 09:00:00",1038.69204525753
"2022-03-02 10:00:00",1039.3260136792
"2022-03-02 11:00:00",1039.92078746313
"2022-03-02 12:00:00",1040.51769926
"2022-03-02 13:00:00",1040.80500197093
"2022-03-02 14:00:00",1040.70754393147
"2022-03-02 15:00:00",1040.54873783727
"2022-03-02 16:00:00",1040.57904221613
"2022-03-02 17:00:00",1040.0061363276
"2022-03-02 18:00:00",1039.21251544413
"2022-03-02 19:00:00",1038.62144664287
"2022-03-02 20:00:00",1038.3333264564
"2022-03-02 21:00:00",1038.1452034122
"2022-03-02 22:00:00",1038.04235615253
"2022-03-02 23:00:00",1038.10648804287
"2022-03-03 00:00:00",1037.95176422773
"2022-03-03 01:00:00",1037.9493202988
"2022-03-03 02:00:00",1038.0016880194
"2022-03-03 03:00:00",1037.2292909082
"2022-03-03 04:00:00",1036.21700806607
"2022-03-03 05:00:00",1035.2757368252
"2022-03-03 06:00:00",1034.11126927073
"2022-03-03 07:00:00",1033.7473600948
"2022-03-03 08:00:00",1033.51755259653
"2022-03-03 09:00:00",1034.07726670733
"2022-03-03 10:00:00",1036.0101697608
"2022-03-03 11:00:00",1037.41731537947
"2022-03-03 12:00:00",1038.63500212073
"2022-03-03 13:00:00",1039.97829457253
"2022-03-03 14:00:00",1040.69530219287
"2022-03-03 15:00:00",1041.1166725908
"2022-03-03 16:00:00",1041.2702118312
"2022-03-03 17:00:00",1041.52432265613
"2022-03-03 18:00:00",1041.58888622793
"2022-03-03 19:00:00",1041.9011431868
"2022-03-03 20:00:00",1042.26924341193
"2022-03-03 21:00:00",1042.9440312252
"2022-03-03 22:00:00",1044.21541642167
"2022-03-03 23:00:00",1045.7643269138
"2022-03-04 00:00:00",1047.3881443376
"2022-03-04 01:00:00",1049.39751619387
"2022-03-04 02:00:00",1050.9652456186
"2022-03-04 03:00:00",1052.34462936027
"2022-03-04 04:00:00",1053.28706818053
"2022-03-04 05:00:00",1054.1565358376
"2022-03-04 06:00:00",1054.8396258712
"2022-03-04 07:00:00",1054.87804212267
"2022-03-04 08:00:00",1055.36992445907
"2022-03-04 09:00:00",1056.28410173953
"2022-03-04 10:00:00",1057.21914419073
"2022-03-04 11:00:00",1057.9973214148
"2022-03-04 12:00:00",1058.9442996886
"2022-03-04 13:00:00",1059.8949132642
"2022-03-04 14:00:00",1059.90452752427
"2022-03-04 15:00:00",1059.75976127493
"2022-03-04 16:00:00",1059.06374629033
"2022-03-04 17:00:00",1057.9962303144
"2022-03-04 18:00:00",1056.5354253298
"2022-03-04 19:00:00",1055.46160748427
"2022-03-04 20:00:00",1054.83686243
"2022-03-04 21:00:00",1054.5310585992
"2022-03-04 22:00:00",1054.48175683673
"2022-03-04 23:00:00",1054.6384911998
"2022-03-05 00:00:00",1055.10860081467
"2022-03-05 01:00:00",1055.23767697227
"2022-03-05 02:00:00",1055.27304596047
"2022-03-05 03:00:00",1054.9915131652
"2022-03-05 04:00:00",1055.0270555058
